slit position (mm) +/- 0.05,"counts/(10sec), run #1","counts/(10sec), run #2","counts/(10sec), run #3"
0,93,73,72
0.4,85,82,93
0.8,151,134,123
1.2,231,243,240
1.6,437,417,422
2,610,634,636
2.4,860,847,854
2.8,1061,1051,1076
3.2,1239,1207,1205
3.6,1157,1237,1192
4,1143,1176,1151
4.4,1041,980,1007
4.8,861,818,814
5.2,655,635,652
5.6,443,394,441
6,213,218,213
6.4,111,100,129
6.8,100,67,73
7.2,75,78,58
7.6,67,81,73
8,68,77,62
8.4,156,170,161
8.8,378,423,404
9.2,560,558,566
9.6,673,638,687
10,710,735,680
